bandName,Province,Hectares
Long Plain,MB,4384.3
Dakota Plains,MB,530.1
Canupawakpa Dakota First Nation,MB,5224.9
Sioux Valley Dakota Nation,MB,31.7
Swan Lake,MB,6021.6
God's Lake First Nation,MB,10296.099999999997
Garden Hill First Nations,MB,18104.3
St. Theresa Point,MB,5687.4
Wasagamack First Nation,MB,8333.0
Red Sucker Lake,MB,3722.5000000000005
Bunibonibee Cree Nation,MB,18117.700000000004
Manto Sipi Cree Nation,MB,2550.0
Sayisi Dene First Nation,MB,212.1
York Factory First Nation,MB,967.4
Fox Lake,MB,1741.3
Tataskweyak Cree Nation,MB,19054.699999999997
Shamattawa First Nation,MB,2316.9
Barren Lands,MB,4372.0
Chemawawin Cree Nation,MB,4770.6
Nisichawayasihk Cree Nation,MB,23708.800000000007
Opaskwayak Cree Nation,MB,17779.699999999997
Dauphin River,MB,325.8
Northlands Denesuline First Nation,MB,21048.5
War Lake First Nation,MB,1739.6999999999998
Kee-Way-Win,ON,20116.0
Pauingassi First Nation,MB,260.5
Little Pine,SK,25964.9
Lucky Man,SK,3078.6
Moosomin,SK,19956.8
"Mosquito, Grizzly Bear's Head, Lean Man First Nations",SK,18082.7
Onion Lake Cree Nation,SK,58571.100000000006
Poundmaker,SK,15241.299999999997
Red Pheasant,SK,25308.4
Saulteaux,SK,17808.299999999996
Sweetgrass,SK,20582.699999999997
Thunderchild First Nation,SK,27229.2
Cumberland House Cree Nation,SK,2145.7999999999997
Fond du Lac,SK,36812.1
Hatchet Lake,SK,11020.0
Lac La Ronge,SK,43305.20000000001
Montreal Lake,SK,8288.8
Peter Ballantyne Cree Nation,SK,37576.40000000001
Red Earth,SK,2280.9
Shoal Lake Cree Nation,SK,1479.0
Wahpeton Dakota Nation,SK,1547.0
Black Lake,SK,32219.700000000004
Sturgeon Lake First Nation,SK,10729.699999999999
Cowessess,SK,42249.49999999999
Kahkewistahaw,SK,11240.900000000001
Ochapowace,SK,30569.000000000004
Zagime Anishinabek,SK,12901.300000000001
Cote First Nation 366,SK,25303.500000000004
Keeseekoose,SK,7955.4000000000015
The Key First Nation,SK,6404.8
Beardy's and Okemasis,SK,20623.2
James Smith,SK,15099.5
Muskoday First Nation,SK,10285.6
Whitecap Dakota First Nation,SK,1894.5
One Arrow First Nation,SK,11123.0
Mistawasis Nêhiyawak,SK,15485.699999999999
Muskeg Lake Cree Nation #102,SK,10737.2
Yellow Quill,SK,0.2
Kinistin Saulteaux Nation,SK,4148.0
Carry The Kettle,SK,33548.79999999998
Little Black Bear,SK,7901.7
Nekaneet,SK,12319.9
Muscowpetung,SK,2501.7
Okanese,SK,10493.299999999997
Pasqua First Nation #79,SK,1151.9
Peepeekisis Cree Nation No.81,SK,11258.7
Piapot,SK,7209.7
Standing Buffalo,SK,2246.1
Star Blanket Cree Nation,SK,7795.200000000001
Wood Mountain,SK,2376.2
Day Star,SK,9968.500000000004
Fishing Lake First Nation,SK,4603.999999999999
George Gordon First Nation,SK,62234.59999999999
Muskowekwan,SK,11810.800000000003
Kawacatoose,SK,5855.1
Canoe Lake Cree First Nation,SK,14173.0
Flying Dust First Nation,SK,8897.0
Makwa Sahgaiehcan First Nation,SK,5881.7
Ministikwan Lake Cree Nation,SK,11120.599999999999
Buffalo River Dene Nation,SK,8259.7
Big Island Lake Cree Nation,SK,4700.1
English River First Nation,SK,25270.499999999996
Clearwater River Dene,SK,9511.1
Waterhen Lake,SK,7972.2
Birch Narrows First Nation,SK,2902.4
Big River,SK,11964.8
Pelican Lake,SK,13397.8
Ahtahkakoop,SK,17347.3
Witchekan Lake,SK,8408.0
Pheasant Rump Nakota,SK,7966.3
Siksika Nation,AB,71087.5
O'Chiese,AB,14132.0
Tsuut'ina Nation,AB,29417.4
Chiniki,AB,5072.4
Blood,AB,136264.6
Piikani Nation,AB,45677.799999999996
Alexis Nakota Sioux Nation,AB,14479.1
Alexander,AB,9587.4
Louis Bull,AB,16940.1
Paul,AB,7330.599999999999
Montana,AB,2959.2000000000003
Ermineskin Tribe,AB,17980.2
Little Red River Cree Nation,AB,24472.3
Dene Tha',AB,30037.999999999996
Horse Lake First Nation,AB,3099.1
Driftpile Cree Nation,AB,6354.8
Kapawe'no First Nation,AB,1562.7
Bigstone Cree Nation,AB,21066.6
Beaver Lake Cree Nation,AB,6433.9
Mikisew Cree First Nation,AB,5116.1
Athabasca Chipewyan First Nation,AB,34767.100000000006
Cold Lake First Nations,AB,40308.7
Fort McKay First Nation,AB,14886.0
Fort McMurray #468 First Nation,AB,3231.7000000000003
Chipewyan Prairie First Nation,AB,3079.7
Bearspaw,AB,6382.200000000001
Wesley,AB,17077.199999999997
Smith's Landing First Nation,NT,10049.7
Carcross/Tagish First Nation,YT,64.8
Tr'ondëk Hwëch'in,YT,410.9
First Nation of Nacho Nyak Dun,YT,314.1
Selkirk First Nation,YT,64.7
Teslin Tlingit Council,YT,161.5
Kwanlin Dun First Nation,YT,108.4
Taku River Tlingit,BC,1263.8999999999999
Liard First Nation,YT,1485.5
Champagne and Aishihik First Nations,YT,0.0
Ta'an Kwach'an,YT,129.6
Witset First Nation,BC,1427.0
Gitanmaax,BC,2377.8
Hagwilget First Nation Government,BC,158.6
Gitanyow,BC,850.4
Heiltsuk,BC,1420.4000000000003
Nuxalk Nation,BC,2025.9
Kitasoo,BC,628.9000000000001
Wuikinuxv Nation,BC,712.8
Saulteau First Nations,BC,3025.8
Fort Nelson First Nation,BC,9752.6
Prophet River First Nation,BC,373.9
